0,1,2
author;author_type;url;location;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price;district;street;house_number;underground;residential_complex,,
Центральное;real_estate_agent;https://zhukovsky.cian.ru/sale/flat/308786793/;Жуковский;sale;flat;3;9;2;46.6;7477000;; Мясищева;8б;Ильинская;,,
Наталья Тамахина;realtor;https://zhukovsky.cian.ru/sale/flat/308597673/;Жуковский;sale;flat;6;17;1;36.6;7500000;; Солнечная;15;Ильинская;,,
Зеленый сад;developer;https://zhukovsky.cian.ru/sale/flat/307542598/;Жуковский;sale;flat;8;18;2;68.2;10573500;; Гудкова;6;Ильинская;Гранд Комфорт,,
Центральное;real_estate_agent;https://zhukovsky.cian.ru/sale/flat/307432324/;Жуковский;sale;flat;2;9;1;32.7;5350000;; Семашко;8к1;Отдых;,,
ID 360347;realtor;https://zhukovsky.cian.ru/sale/flat/308107576/;Жуковский;sale;flat;2;5;2;42.9;5600000;; Жуковского;23;Отдых;,,
Зеленый сад;developer;https://zhukovsky.cian.ru/sale/flat/307542782/;Жуковский;sale;flat;14;18;2;56.4;8806700;; Гудкова;6;Ильинская;Гранд Комфорт,,
Экспресс-недвижимость;real_estate_agent;https://zhukovsky.cian.ru/sale/flat/268937557/;Жуковский;sale;flat;4;20;1;44.5;6500000;; Баженова;4/2;Ильинская;Полетград,,
ID 14557072;homeowner;https://zhukovsky.cian.ru/sale/flat/297269756/;Жуковский;sale;flat;2;5;2;43.8;5750000;; Дзержинского;2к3;Отдых;,,
Зеленый сад;developer;https://zhukovsky.cian.ru/sale/flat/307542828/;Жуковский;sale;flat;2;18;1;52.7;8168500;; Гудкова;6;Ильинская;Гранд Комфорт,,
ID 56167744;homeowner;https://zhukovsky.cian.ru/sale/flat/308354180/;Жуковский;sale;flat;5;5;2;42.4;4900000;; Гагарина;17/1;Ильинская;,,
УЮТ;real_estate_agent;https://zhukovsky.cian.ru/sale/flat/299335404/;Жуковский;sale;flat;11;14;1;37.0;5450000;; Баженова;5к1;Ильинская;,,
Зеленый сад;developer;https://zhukovsky.cian.ru/sale/flat/307542427/;Жуковский;sale;flat;18;18;1;42.8;6929000;; Гудкова;6;Ильинская;Гранд Комфорт,,
author;author_type;url;location;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price;district;street;house_number;underground;residential_complex,,
БизнесКонсалт;real_estate_agent;https://taldom.cian.ru/sale/flat/305406124/;Талдом;sale;flat;3;3;1;38.0;3420000;Талдом; Новая;;;,,
Самолет Плюс-Дмитров;real_estate_agent;https://taldom.cian.ru/sale/flat/307094441/;Талдом;sale;flat;4;5;1;39.0;3670000;Талдом; Мичурина;5;;,,
ID 53382423;realtor;https://taldom.cian.ru/sale/flat/298442569/;Талдом;sale;flat;4;5;1;30.0;2400000;;;;;,,
Самолет Плюс-Дмитров;real_estate_agent;https://taldom.cian.ru/sale/flat/307666052/;Талдом;sale;flat;2;5;1;29.0;3250000;;;;;,,
Самолет Плюс-Дмитров;real_estate_agent;https://taldom.cian.ru/sale/flat/306607417/;Талдом;sale;flat;1;2;2;49.0;3250000;Талдом; Шишунова;7А;;,,
ID 81478565;homeowner;https://taldom.cian.ru/sale/flat/305361516/;Талдом;sale;flat;1;2;1;23.0;830000;Талдом; Кустарная;;;,,
Эксперт-Риелт 24;real_estate_agent;https://taldom.cian.ru/sale/flat/305973016/;Талдом;sale;flat;2;3;1;34.0;3450000;Талдом; Новая;12;;,,
БизнесКонсалт;real_estate_agent;https://taldom.cian.ru/sale/flat/288462926/;Талдом;sale;flat;5;6;2;73.0;5700000;;;;;,,
ID 100026602;homeowner;https://taldom.cian.ru/sale/flat/283884198/;Талдом;sale;flat;1;3;2;60.0;5700000;Талдом; Новая;12;;,,
МК-Гарант;real_estate_agent;https://taldom.cian.ru/sale/flat/305003707/;Талдом;sale;flat;2;5;1;38.5;3500000;;;;;,,
ИП Смотров Е. М.;real_estate_agent;https://taldom.cian.ru/sale/flat/303690874/;Талдом;sale;flat;5;5;2;44.2;3580000;;;;;,,
ID 82038823;homeowner;https://taldom.cian.ru/sale/flat/302488317/;Талдом;sale;flat;5;5;1;29.0;2850000;Талдом; Шишунова;7;;,,
ПрогреCC;real_estate_agent;https://taldom.cian.ru/sale/flat/303258085/;Талдом;sale;flat;4;4;2;93.0;6999999;Талдом; Победы;15;;,,
ПрогреCC;real_estate_agent;https://taldom.cian.ru/sale/flat/300465749/;Талдом;sale;flat;1;3;1;39.0;3950000;Талдом; Новая;8;;,,
ID 116666097;homeowner;https://taldom.cian.ru/sale/flat/302137991/;Талдом;sale;flat;1;5;1;29.2;2850000;;;;;,,
ПрогреCC;real_estate_agent;https://taldom.cian.ru/sale/flat/300465313/;Талдом;sale;flat;3;3;2;57.0;5550000;Талдом; Новая;8;;,,
Елена Пашина;realtor;https://taldom.cian.ru/sale/flat/307511350/;Талдом;sale;flat;4;5;2;44.5;4500000;;;;;,,
ID 115902442;homeowner;https://taldom.cian.ru/sale/flat/301343777/;Талдом;sale;flat;5;5;2;44.5;3870000;;;;;,,
ПрогреCC;real_estate_agent;https://taldom.cian.ru/sale/flat/307701026/;Талдом;sale;flat;2;3;2;53.6;5990000;Талдом; Новая;6;;,,
ID 112372440;homeowner;https://taldom.cian.ru/sale/flat/306482430/;Талдом;sale;flat;2;2;2;39.1;3000000;Талдом; Победы;36;;,,
ID 90023649;homeowner;https://taldom.cian.ru/sale/flat/307817244/;Талдом;sale;flat;3;5;2;38.2;3900000;Талдом; Мичурина;3;;,,
ID 111111297;homeowner;https://taldom.cian.ru/sale/flat/302120463/;Талдом;sale;flat;5;5;2;45.6;4400000;;;;;,,
ID 71662625;homeowner;https://taldom.cian.ru/sale/flat/306936229/;Талдом;sale;flat;3;5;1;34.0;3500000;;;;;,,
ID 83432231;homeowner;https://taldom.cian.ru/sale/flat/279891592/;Талдом;sale;flat;1;5;2;42.0;4300000;Талдом; Мичурина;1;;,,
ID 120949225;homeowner;https://taldom.cian.ru/sale/flat/306602791/;Талдом;sale;flat;4;5;1;30.0;3500000;;;;;,,
ID 62974493;homeowner;https://taldom.cian.ru/sale/flat/307771387/;Талдом;sale;flat;5;5;2;53.9;4300000;;;;;,,
Альтернатива;real_estate_agent;https://dmitrov.cian.ru/sale/flat/301361439/;Талдом;sale;flat;1;4;1;33.6;2100000;;;;;,,
Марина Кочеткова;realtor;https://dmitrov.cian.ru/sale/flat/308799111/;Талдом;sale;flat;1;2;2;42.2;2300000;Дмитров;Лесная ;15;;,,
Самолет Плюс Дмитров;real_estate_agent;https://dmitrov.cian.ru/sale/flat/303755783/;Талдом;sale;flat;3;5;-1;48.1;1400000;Дмитров;Комсомольская ;25;;,,
author;author_type;url;location;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price;district;street;house_number;underground;residential_complex,,
Таврида Девелопмент;developer;https://krym.cian.ru/sale/flat/304428700/;Серпухов};sale;flat;2;20;1;25.04;10141200;;;;;Новая Ливадия,,
ID 12530791;unknown;https://www.cian.ru/sale/flat/303761506/;Серпухов};sale;flat;38;78;1;58.0;58500000;Пресненский;1-й Красногвардейский проезд;22с2;Москва-Сити;NEVA TOWERS,,
Дипломат;developer;https://krym.cian.ru/sale/flat/292124957/;Серпухов};sale;flat;2;5;1;65.7;24860880;;;;;Резиденция Дипломат,,
ID 85604823;unknown;https://www.cian.ru/sale/flat/305768574/;Серпухов};sale;flat;6;42;1;42.0;29000000;Хорошево-Мневники;Шелепихинская набережная;34к5;Шелепиха;Сердце Столицы,,
Неометрия;developer;https://sochi.cian.ru/sale/flat/302444728/;Серпухов};sale;flat;8;10;1;22.2;26140500;Адлерский;Адлер жилрайон;;;Гостиничный комплекс ,,
ID 85604823;unknown;https://www.cian.ru/sale/flat/307014462/;Серпухов};sale;flat;6;42;1;42.0;29000000;Хорошево-Мневники;Шелепихинская набережная;34к5;Шелепиха;Сердце Столицы,,
Сармат;developer;https://krasnodar.cian.ru/sale/flat/307540724/;Серпухов};sale;flat;2;16;1;37.9;5306000;Прикубанский; Западный обход;65/1;;Cармат,,
White and Broughton;real_estate_agent;https://www.cian.ru/sale/flat/299890518/;Серпухов};sale;flat;9;40;1;41.5;32000000;Хорошевский;Ленинградский проспект;37/4;ЦСКА;Прайм Парк,,
Интеллект;developer;https://krym.cian.ru/sale/flat/295983885/;Серпухов};sale;flat;2;13;1;38.3;12928244;;;;;Парковая Резиденция,,
White and Broughton;real_estate_agent;https://www.cian.ru/sale/flat/301550653/;Серпухов};sale;flat;13;41;1;41.5;31000000;Хорошевский;Ленинградский проспект;37/6;Аэропорт;Прайм Парк,,
Интеллект;developer;https://krym.cian.ru/sale/flat/306356337/;Серпухов};sale;flat;7;20;1;24.84;8609974;;;;;Крымская Резиденция,,
Contact Real Estate;real_estate_agent;https://www.cian.ru/sale/flat/303027445/;Серпухов};sale;flat;3;20;1;59.0;61800000;Пресненский; Костикова;4к6;Улица 1905 года;Lucky,,
Эталон;developer;https://ekb.cian.ru/sale/flat/308412177/;Серпухов};sale;flat;2;5;1;38.08;5498522;;;;;Балтым-Парк,,
ZIP Realty;real_estate_agent;https://www.cian.ru/sale/flat/303387198/;Серпухов};sale;flat;18;22;1;30.0;11700000;;бульвар Андрея Тарковского;11;Рассказовка;Рассказово,,
Перспектива;developer;https://krym.cian.ru/sale/flat/305496510/;Серпухов};sale;flat;2;8;1;70.3;16000000;Восход пгт; Наташинская;2Ж;;Монако,,
Homeapp;real_estate_agent;https://www.cian.ru/sale/flat/303534103/;Серпухов};sale;flat;16;25;1;34.0;9700000;;;7;Ольховая;,,
СК10;developer;https://rostov.cian.ru/sale/flat/303045403/;Серпухов};sale;flat;24;25;1;33.37;4110000;Советский;;;;Малина парк,,
